Text,Label
ಮಧ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ಕೂಡ ಓರ್ವ ಮಹಿಳೆಗೆ  ಮಹಾಭಾರತದ ಅಶ್ವತ್ಥಾಮ ಎಂದು ಪರಿಚಯ ಮಾಡಿಕೊಂಡು ಮತ್ತು ಅವಳಿಗೆ ಮಹಾಭಾರತದ ಸನ್ನಿವೇಶಗಳ ವಿಡಿಯೋವನ್ನು ಆ ಮಹಿಳೆಯ ಮನೆ ಗೋಡೆ ಮೇಲೆ ಮಹಾಭಾರತದ ದೃಶ್ಯಗಳನ್ನು ಬರುವ ಹಾಗೆ ಮಾಡಿದ್ದನಂತೆ ಹಾಗೂ ಅವಳಲ್ಲಿ ನೀನು ಯಾರಿಗೆ ಹೇಳದೇ   nಈ ದೃಶ್ಯ ನೋಡಬಹುದು. n     ಇಲ್ಲವಾದಲ್ಲಿ ಹೇಳಿದರೆ ಈ ದೃಶ್ಯ ಕಾಣುವುದಿಲ್ಲ. nಆದ್ದರಿಂದ ನೀನು ನನ್ನ ಮಾತಿನಂತೆ ನಡೆಯಬೇಕು ಎಂದು ವಚನ ತೆಗೆದುಕೊಂಡು ಅಲ್ಲಿಂದ ಅದೃಶ್ಯವಾಗಿದ್ದಾನಂತೆ. .....!,Non-depressive
Idu nimage hege gottaytu?,Non-depressive
Este antha helakkagall nija edhru erabahudu,Non-depressive
Kaiwarada thathayya(yogi narayanappa),Non-depressive
Nejwad deushya torishi eg heliddu,Non-depressive
Adu igala 1960 ali nadedidu doctor incident,Non-depressive
Nama village ge bandidru,Non-depressive
ಹೇಡಿ ಅಶ್ವತ್ಥಾಮ ಚಕ್ರವ್ಯೂಹದಲ್ಲಿ ಅಭಿಮನ್ಯುವನ್ನು ಎದುರಿಸಲಾಗದೆ ಪ್ರಾರಂಭದಲ್ಲೇ ಜೀವ ಉಳಿಸಿಕೊಳ್ಳುವ ಸಲುವಾಗಿ ಪಲಾಯನ ಮಾಡಿಬಿಟ್ಟ.... ಕೊನೆಯಲ್ಲಿ ಲೋಫರ್ ದುರ್ಯೋಧನನ ಮಾತು ಕೇಳಿ ಶಾಪಗ್ರಸ್ಥನಾಗಿ ಕಲಿಯುಗದಲ್ಲೇ ತಿರುಗಾಡುತ್ತಿದ್ದಾನೆ.... ಒಂದು ವೇಳೆ ನನ್ನ ಕೈಗೆನಾದರೂ ಸಿಕ್ಕರೆ ಅವನನ್ನು ಛೇಡಿಸದೆ ಬಿಡಲಾರೆನು,Non-depressive
All fake bro nija vishaya maatra heli bro ummane janara manasalli sullu nambike yanna huttisa bedi plzzzz,Non-depressive
ಅಶ್ವಥ್ಥಾಮ ಚಿರಂಜೀವಿ ಆಗಿದ್ದು ಹೇಗೆ,Non-depressive
magaluru kade kalsi avanannu .navu avanige maddu kodthive.,Non-depressive
Yakri janagalna dari tapso kelsa madtira,Non-depressive
Eddane annodu nanna nambike.aadre ashvataamanige kannadada bartita anodu davtu,Non-depressive
ನಿಜ ಇದ್ರು ಇರಬಹುದು ಸರ್,Non-depressive
ಹೇ ಕಥೆ ಕತೇನೇ ಮಗ nಅಂಬೇಡ್ಕರ್ ಯಾರು ಗೋತಾ ಅದು nನೀವ್ ಹೇಳ್ತೀರಲ್ಲ ಕಲಿಯುಗ..ದೊರೆ  ದೊರೆ ನೇ ಇದು ಕರ್ನಾಟಕದಲ್ಲಿ nDPS ಕರ್ನಾಟಕ ದಲಿತ ಪ್ರಜಾ ಸೇನೆಯ ಸಾರಥಿಗಳು,Non-depressive
Le nimmouna thullagaa naayi tunni saabarige huttida MidArimagane,Non-depressive
ಅವನಿಗೆ ಕನ್ನಡ ಭಾಷೆ ಬರುತಿತ್ತ?,Non-depressive
Wt a question bro,Non-depressive
@Nithya Sudha avaru devategalu devategalige Ella bhashe barutte,Non-depressive
Avnu yava language mathadodu,Non-depressive
Sir avrudu bhashe yavdu a doctor bali yav bhashe matanadid ?,Non-depressive
Ashwatama ge Kannada barutte yenri,Non-depressive
Illa guru.. Ashwatama na.. Bhaashe ivrige. Barutte ansutte....,Non-depressive
ಸರ್ ನೀವು ಹೇಳಿದ ಪ್ರತಿಯೊಂದು ಮಾತೂ ನಿಜ.ಜೊತೆಗೆ ಇದರಿಂದ ಸ್ವಲ್ಪವಾದರೂ ಕಲಿತು ಚಿಕ್ಕ ಮಟ್ಟದಲ್ಲಿ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೆ ಪೂರಕವಾದ ಶಿಕ್ಷಣ ಮತ್ತು ಉತ್ಪಾದನೆಯ ಮಾರ್ಗದಲ್ಲಿ ನಡೆಯಲು ಶುರು ಮಾಡಲೇಬೇಕಾದ ಕಾಲವಿದು.ಬನ್ನಿ ಗ್ರಾಮೀಣ ಒಕ್ಕೂಟವಾದ ನಮ್ಮ ಗ್ರಾಮಗಳಲ್ಲಿರುವ ಮೂಲಗಳನ್ನೇ ಉಪಯೋಗಿಸಿಕೊಂಡು ನಮ್ಮ ಹಳ್ಳಿಯ ಜನರ ಅವಶ್ಯಕತೆಗಳ್ನ ನಮ್ಮ ಹಳ್ಳಿಗಳಲ್ಲಿಯೇ ದೊರೆಯುವ ವಸ್ತುಗಳನ್ನು ಬಳಸಿ ಪೂರೈಸುವ ಕೆಲಸಕ್ಕೆ ಮುಂದಾಗೋಣ.ಇದೇ ನಮ್ಮ ಭವ್ಯ ಬಲಿಷ್ಠ ಭಾರತದ ನಿರ್ಮಾಣಕ್ಕೆ ಮೊದಲ ಹೆಜ್ಜೆ.,Non-depressive
Prajakeeyada bagge videos madi please,Non-depressive
ನಿಜ ನಾ ಇಷ್ಟು ಚನ್ನಾಗಿ  ಹೇಳಿದಿರ,Non-depressive
Yar bekadru PM agakke agolla,Non-depressive
oba mele hogutidane andre navanige melle hogokke sahay madobadallu avan kalu aledu kelage billisoke nodo janare nammalijas,Non-depressive
ಒಂದು ದೇಶದ ಮುಂದುವರಿಯುವುದು ಅದರ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸುವುದಿಲ್ಲ. ಅವರು ಮಾನವೀಯತೆಯಲ್ಲಿ ಎಷ್ಟು ಸಮರ್ಥರು ಎನ್ನುವುದನ್ನು ಅವಲಂಬಿಸಿದೆ. ಭಾರತದಲ್ಲಿ ಅನಕ್ಷರತೆ ಇದೆ ಆ ಅನಕ್ಷರಸ್ಥರನ್ನು ಅವರ ಅನಕ್ಷರತೆಯೇ,Non-depressive
ಸಂಪೂರ್ಣ ಮಾಹಿತಿ ಅಣ್ಣಾ ಧನ್ಯವಾದಗಳು,Non-depressive
Well side bro,Non-depressive
ತನ್ನ ಉತ್ತಮ ಗುಣಮಟ್ಟವನ್ನು ಸಾಬೀತು ಮಾಡುತ್ತಾ ಮುಂದೆ ಸಾಗುತ್ತಿದೆ... We love you  #ಮಸ್ತಮಗಾ team🤩,Non-depressive
Worst = Raaja-kiyanBest = prajaa-kiya,Non-depressive
Modi idare don't worry,Non-depressive
ನಿಮ್ಮ‌ ಈ ಮಾಹಿತಿಗೆ ಧನ್ಯವಾದ ಸರ್.. ನಾವು ಸಾಮಾನ್ಯ ಜನ‌ ಜಸ್ಟ್ ವಿಡಿಯೋ ನೋಡ್ಕೊಂಡು‌ ಇಂಡಿಯಾ ಬಗ್ಗೆ ಯೋಚನೆ‌ ಮಾಡಿದ್ರು ಅದು‌ ಉಪಯೋಗ ಆಗಲ್ಲ ಈ ಮಾಹಿತಿ ಕೆಲವೊಂದು ವರ್ಗದ‌ ಜನರಿಗೆ ಮನಮುಟ್ಟುವಂತೆ ಆಗ್ಬೇಕು‌ ಆಗ ಏನಾದ್ರು ಚೇಂಜ್ ಅಗಬಹುದೆನೋ ಗೊತ್ತಿಲ್ಲ..,Non-depressive
Sir solla video time kadime madi,Non-depressive
Helodannu kadime madu antialla desha uddarane,Non-depressive
ಚೀನಾ ನಿಜವಾದ ಕಮ್ಯೂನಿಸ್ಟ್ ರಾಷ್ಟ್ರ ಆದರೆ ಆಲ್ಲಿನ ಕಾನೂನು  ಹಾಗಿಲ್ಲ ಆದರೆ ನಮ್ಮದೇಶ ಸ್ವತಂತ್ರ ದೇಶ ಆದರೆ ಕಾನೂನು ನಕ್ಸಲಿ ಕಾನೂನ ದುಡಿಯುವವನ ಬಳಿ ಕಿತ್ತು ಕುಳಿತ ಸೊಂಬೇರಿಗಳ ಸಾಕುವ ಮಹಾನ್ ದಾರಾಳ ದುರಬುದ್ದಿಯ ರಾಷ್ಟ್ರ ನಮ್ಮ  ಭಾರತ... ಇಲ್ಲಿ  ಬಿಟ್ಟಿ ಅಕ್ಕಿ ಬಿಟ್ಟಿ ದಿನಸಿ ಬಿಟ್ಟಿ TV  ಮಿಕ್ಸಿ ಎಲ್ಲಾ ಸರ್ಕಾರವೇ ಕೊಡುತ್ತೆ ನಾವುಗಳು ಬರಿ ಹೆಣ್ಣು ನೋಡಿಕೊಂಡು ಮದುವೆ ಆಗಿ ಮಕ್ಕಳು  ಹುಟ್ಟಿಸಿದರೆ ಸಾಕು ಮತ್ತೆ  ಆ ಮಕ್ಕಳನ್ನೂ ನಮ್ಮ  ದೇಶದ ಆಡಳಿತ ಸರ್ಕಾರಗಳು ಸಾಕಿಕೊಳ್ಳುತ್ತವೆ ಏಕೆಂದರೆ  ಅದು ಭವಿಷ್ಯದ ಓಟು.... nಭಾರತ ಇಂಥಹ ನೀಚ ಮನಸ್ಥಿತಿಯಿಂದ ಹೊರಬಂದು  ಯುವ ಜನತೆಗೆ ಶ್ರಮವಹಿಸಿ ದುಡಿಯೊದು ಕಲಿಸದಿದ್ದರೆ ಈ ದೇಶ ಭಿಕ್ಷುಕರ ನಾಡಾಗುತ್ತೆ... nಸೊಂಬೇರಿಗಳ ಮಹಾನ್ ಭಾರತ...,Non-depressive
@pruthvisagar sagar but create hindi muslim divide,Non-depressive
ಚೀನಾ ಒಂದು ವಿಷಯಕ್ಕೆ ಇಷ್ಟ ಆಗುತ್ತೆ nಏನೆಂದರೆ,Non-depressive
Illi neevu aa hesaranna heLohagoo ilvalla.48 beka bitti thinno baayiglu ottigr barathve.modalu lancha hogbeku,Non-depressive
@Usha Rao modlu caste system hogbeku inter caste marriage hecchige agbeku...yavag caste hogutto avage reservation hogutte..ella kade nim caste yavudu anta kelore hecchidare..bekabitti illi yaru tinutilla adu hakkide...ella 75%india du property obbare caste hattir ide adu tamugu gottu.,Non-depressive
@sumya kulkarni ನೀವು ಬ್ರಾಹ್ಮಣರಾಗಿ intercast marriage agoke dairya idena ? Never.,Non-depressive
ಪ್ರಪಂಚವನ್ನೇ ನಡುಗಿಸುತ್ತಿರುವ ಉಗ್ರವಾದ ಕರೋನಾಗೆ ಶಾಕ್!!nರೂ.50,Non-depressive
@sumya kulkarni ಭ್ರಷ್ಟಾಚಾರ ಹೋಗೋದು ಕಠಿಣ ಕಾನೂನುಗಳಿಂದ.......ಅದಕ್ಕೆ ರಾಜಕೀಯ ಇಚ್ಚಾಶಕ್ತಿ ಬೇಕು.... ಈ ಕಳ್ಳ ಕಾಂಗ್ರೆಸ್ ನಮ್ಮ ದೇಶವನ್ನು ಹಾಳು ಮಾಡ್ತು,Non-depressive
@Unity of India ...ಅಂತರ್ ಜಾತಿ ವಿವಾಹಕ್ಕು...... ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ......ದೇಶ ಉದ್ದಾರಕ್ಕೂ ಸಂಬಂಧವಿಲ್ಲ......,Non-depressive
@Usha Rao ಇವರಿಗೆ ಇದೆಲ್ಲ ಹೇಳಿದ್ರೆ ಅವರು ನಂಬೋಲ್ಲ......ಅವರದು ಒಂದು ರೀತಿ ಆಜ್ನ್ಯಾನ......ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸಂಬಂಧವಿಲ್ಲ,Non-depressive
@Dayananda C lol judge ge lancha kottu jailge hogi bandirorna CM madiroru 420 BJP,Non-depressive
@Dayananda C lol antarjati vivaha adre caste fear iralla. Nanu a caste e caste anta vote hakkala yalla mixed hagirtare. Sariyadavrge vote haktare.  Jailge hogibandavrge hakkala,Non-depressive
@king k ...ಕರ್ನಾಟಕದಲ್ಲಿ ಅತ್ಯಂತ ಭ್ರಷ್ಟರು ಅಂದ್ರೆ ಜೆಡಿಸ್...ಮತ್ತು ಕಾಂಗ್ರೆಸ್.....ಇವರು ನಿಪುಣರು ...ಹಾಗಾಗಿ ಇವರು ತಪ್ಪಿಸಿಕೊಳ್ತಾರೆ......ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳದೆ ಮಾತಾಡಬೇಡ.....,Non-depressive
@Dayananda C sir ivaga hagalla belige call maditini heli. Prashne keltini. Political bittu . Abhirudhi bagge keltini heli.,Non-depressive
Sir u copy dr vivek bindra sir,Non-depressive
ಒಂದು Angle ನಲ್ಲಿ ನೋಡಿದ್ರೆ ಚೀನಾ ಕಮ್ಯುನಿಸ್ಟ್ ಪಕ್ಷಗಳು ಬೆಸ್ಟ್,Non-depressive
ಆದ್ರೆ ಚೀನಾ ಗೇ ಬಕೆಟ್ ಹಿಡಿತಾರೇ,Non-depressive
@Avatar 123 but you support corupt political democracy,Non-depressive
Kerala antha helbedi bro. Adu kuda jathi na nodutte. Agi hechagi nodutte nan sutta muttalina example nalli heltha idini... I have many Malli frnds so,Non-depressive
S ur ryt,Non-depressive
ಜೈ ಮೋರಿ ಜೈ ರೋಗಿ ಇಸ್ಲಾಂ ಸಾಯಿಸಿ ಇದೆ ಇವರ ಗುರಿ,Non-depressive
@s s Islam ಎಲ್ಲ ದೇಶಗಳಿಗೂ ಮಾರಕ .,Non-depressive
Super brother.           Rajakiya laba yenidide    ano yochane,Non-depressive
ಪ್ರಜಾಪ್ರಭುತ್ವ ಕಾನೂನಲ್ವಾ ಅದಕ್ಕೆ,Non-depressive
Copy maadidre case agalva?,Non-depressive
Communist government better enu hagadare,Non-depressive
ಎಲ್ಲಾ ಸರಿ ಗುರು,Non-depressive
ಸಾರ್nಸಾವಿರ ರಾಜಕೀಯ ಪಕ್ಷ ಕಾಂಗ್ರೆಸ್ ಬಿಟ್ರೆ ಬೇರೆ ರಾಜಕೀಯ ಪಕ್ಷದ ಅಜೆಂಡಾ ಏನು?nಅಧಿಕಾರಕ್ಕೆ ಬಂದ ಮೇಲೆ ಸಾಧನೆ ಏನು?nಆದ್ರೂ ಅಜೆಂಡ್ ಇಲ್ಲದ ಪಕ್ಷ  ಗಳ ನ್ನೂn1947 ರಿಂದ ಬೆಂಬಲಿಸಿ ದ್ದಿವಿ!nಕಳೇದ 4,Non-depressive
ಭರ್ಜರಿ ಆಪರೇಷನ್ ಗುರುವೇ...,Non-depressive
Guru ee desha uddhara agalla bedu bhai indian youth waste bedu,Non-depressive
Well said bro,Non-depressive
Good information sir but ivattu yako parokshavaģi  China desha vanna hogalida hage ittu adru ade nija  satya yavaglu kahiyagi irutte,Non-depressive
Namma yalla sarkara nu hage ide bidi..,Non-depressive
ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..,Non-depressive
RS haadugalella haagene bro,Non-depressive
Hands up anno pada ide alva 🤔,Non-depressive
Karthiks Reddy ನಿಮ್ಮ ಉತ್ತರ ಆಂಗ್ಲ ಭಾಷೆಯಲ್ಲಿ ಇಲ್ವಾ ಅದೇ ಥರಾ,Non-depressive
@Karthik S Reddy 1,Non-depressive
ನಿಮ್ಮ ಅನಿಸಿಕೆಗೆ ನನ್ನ ನಮನಗಳು,Non-depressive
hands up guru,Non-depressive
@P h Ahamad Bava ಅಣ್ಣ ಒಂದೆರಡು ಪದ ಬಿಟ್ಟು ಇನ್ನೂ ಉಳಿದ ಪದ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಇದೆ ಅಲ್ವಾ?,Non-depressive
@Nature  You tube ಕನ್ನಡದಲ್ಲಿ ಹೇಳಬೇಕೆಂದರೆ - ನೀನು ಕೊಳವೆ .....🤣🤣,Non-depressive
ಇದರಲು ಅಂಗ್ಲ ಇದೆ,Non-depressive
ಯಪ್ಪಾ ನನ್ನ ಒಂದು ಕಾಮೆಂಟ್ 3ಕೆ ಲೈಕ್ ತಗೊಳ್ಳುತ್ತೆ.. ಆದರೆ ನನ್ನಂತ ಸಾಮಾನ್ಯ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ 3ಕೆ ಫಾಲೋವರ್ಸ್ ಮಾಡೋಕೆ ಕಷ್ಟ ಪಡ್ತಿದ್ದಿನಿ.. ನನ್ನ ಚಾನಲ್ ಅಭಿವೃದ್ದಿ ಮಾಡ್ತೀರಾ??,Non-depressive
@maneesh / jlu,Non-depressive
@SIDDARAJU D vhhhk,Non-depressive
KEERTHAN KUMAR ಅದು ಒಂದ್ ಪದ ಬಿಟ್ಟು ನೋಡು,Non-depressive
BH cu VG,Non-depressive
@Sujan Tejas gssgssiweg,Non-depressive
@Karthik S Reddy 46449449494,Non-depressive
@KGF Chapter 2 good,Non-depressive
ಯಾರೆಲ್ಲ ಡಿಸ್ಲೈಕ್ ಮಾಡಿದ್ದಾರೆ ಅವರೆಲ್ಲ ರಶ್ಮಿಕ ಮಂದಣ್ಣ ಅವರ ಫ್ಯಾನ್ಸ್ ಇರ್ಬೊದು    nಪಾಪ ಉರಿತಾ ಇದೆ🤣..ನಮ್ಮ ತುಳುನಾಡಿನ ಪ್ರತಿಭೆನ ನೋಡಿ...,Non-depressive
Kannada nadu only,Non-depressive
@Madhu Madhu hello bro navu tulunad navru tulu namma matru bashe aste abhimana kannada bashe melu ide,Non-depressive
@Madhu Madhu thanks bro,Non-depressive
NkN  ಬೆಂಕಿ   song guru,Non-depressive
ಮೆಲ್ಲನೆ ನಶೆ ಎರಿಸೊ ಹಾಡು,Non-depressive
ಕೇಳಿ ಕಾದಿರುವ ಬಾಂಧವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ,Non-depressive
Yaradru sahitya haktara anta nodtidd,Non-depressive
Good job shivu,Non-depressive
ಸಾಹಿತ್ಯ ಓದಿ ಹಾಡು ಕೇಳಿ ಆನಂದಿಸಿ.,Non-depressive
Ninige bere kelsa ilvaa madoke,Non-depressive
Kaytidde bro Yarana  lyrics aktara anta 🥰🥰tq,Non-depressive
@ganesha m by,Non-depressive
Damm godd...an song guru...ajnish u made a magic broooo,Non-depressive
Super bro,Non-depressive
Repeat mode pe,Non-depressive
Actually idu idu chanagirodu,Non-depressive
What a music ... nWhat a lyric...nWhat a choreography.... nWhat a camera working......nTotally awesome ... nನಿಜಕ್ಕೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ... nಅಜನೀಶ್ ಗುರುಗಳೇ ನಿಮಗೊಂದು ಸಲಾಂ...nರಕ್ಷಿತ್ ಶೆಟ್ರೆ ಒಳ್ಳೇದಾಗಲಿ ..nಮೂರು ವರ್ಷ ಪಟ್ಟ ಶ್ರಮ ಫಲಕೊಡುವಂತಾಗಲಿ..... All the best to you sir,Non-depressive
ಅವರ ಇಚ್ಛೆಯಂತೆ 300 ಕೋಟಿಗೂ ಮೀರಿ ಕಲೆಕ್ಷನ್ ಮಾಡಲಿ,Non-depressive
#ಇದು ಚರಿತ್ರೆ ಸ್ರೃಷ್ಟಿಸುವ ಅವತಾರ nBaground music 🤺🤘,Non-depressive
ಯುದ್ಧ ಮಾಡಬೇಕು  ಓದಬಾರದು ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ nAnd recently we can relate it to priyankareddycase,Non-depressive
That making was osm #ASN 🤩🤩🤩,Non-depressive
Stand Up for  Hands Up Song,Non-depressive
en music guru,Non-depressive
Trending list gaagi wait maadtiror like,Non-depressive
Nimma Narayana na avathara Charithre Srustisali..... Olledagali,Non-depressive
Idu charitre srushtiso avatara nice,Non-depressive
Hands up,Non-depressive
Super song .......But movie realise agi 1 week adamele bidabekithu.......,Non-depressive
ASN movie na 1st day 1st show nodoru like maadi,Non-depressive
Super song.  .....sir,Non-depressive
ಯುದ್ಧ ಮಾಡಬೇಕು...  ಓದಬಾರದು.. ಕಟುಕರ ಮುಂದೆ ಭಗವದ್ಗೀತೆ,Non-depressive
Promotion kammi aytu bro,Non-depressive
@*V C R* guru edunna modlu bale fansge helu avru start madidare nau end madthivi,Non-depressive
@VARAPRASAD K K super bro,Non-depressive
@VARAPRASAD K K neen tunne chipake kayak illa,Non-depressive
അടിപൊളി പടം..  നായിക കുട്ടൂസ് പൊളി,Non-depressive
Super movie 🤩,Non-depressive
ನಾನು ನೋಡಿ ಸತತವಾಗಿ 30 ನಿಮಿಷ ಕಣ್ಣೀರು ಹಾಕಿದ ಸಿನಿಮಾ,Non-depressive
Nice movie,Non-depressive
Film Andre idu. Super movie,Non-depressive
Superb movie,Non-depressive
Super movie sir,Non-depressive
Wow nice movie,Non-depressive
Full movie upload madri.. Ofter release pls,Non-depressive
Full movie up load me sir,Non-depressive
Cinema sakkathagide guru,Non-depressive
@Raja Vishnuvardhana Tamil of ciurse,Non-depressive
@Lavanya gowda Tan Q Sister,Non-depressive
Full movie send.,Non-depressive
Rakshasan Thamil BGM🤔🤔,Non-depressive
Hindi me kab aygi ye movie,Non-depressive
Suspense movie good kannada,Non-depressive
Bhai kgf 2 kab ayegi,Non-depressive
Is movie available in hindi dubbed?,Non-depressive
Kannadadalle bandilla innu,Non-depressive
@Rock Siddu hehehe,Non-depressive
Meku kannada samajhti ni phr bhi  I like it,Non-depressive
Full movie kab bajo gay,Non-depressive
Entha valle    trailer  ri   edu   great nKelhu   kachda   galu n  intha   prathibe galu   karnataka dalidru   n dudina aase ge   low   quality   movie  madi  nkannada andre   jana  intrest thoris  bardu   naa  thara   aprada   madthidare,Non-depressive
Muje to ratsasan ka part 2 laga super movie,Non-depressive
Movie chennagi ide,Non-depressive
Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP,Non-depressive
ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗೆ ದಯವಿಟ್ಟು ಸಪೋರ್ಟು ಮಾಡಿ,Non-depressive
Movie super agidhe,Non-depressive
I like it  war,Non-depressive
Movie chenagide hogi nodi,Non-depressive
Ee film chennagide. Nanu nodide. Neevoo nodi.,Non-depressive
All the best prajwal Devaraj Bøss,Non-depressive
Salute to sandalwood,Non-depressive
Trailer  super  ide sir edu Hindi nalli kuda release madi please,Non-depressive
Super movie,Non-depressive
Very good movie,Non-depressive
Chikki chikki chikkappa nidde indda bega helappa pade pade kelbeku tumbha tumbha tacing padgalu adu sang agiddre innu kushipadtide I love jental man movi,Non-depressive
In ond trip nodbeku but but sinama chenge madbittru olle movi ge olle respans illa Nam karnatakadalli,Non-depressive
Suuuuper D BOSS,Non-depressive
Exhalant movie,Non-depressive
Eli eddeli boss nim time bandide,Non-depressive
Why kannadigas not supporting kannada movies. .,Non-depressive
E film baari ede ante guru nodle beku,Non-depressive
Yen film  guru super,Non-depressive
Jai d boss,Non-depressive
D boss bro dainamic price Prajwal Devaraj,Non-depressive
It makes history....pakka,Non-depressive
E cinema na kandita theatre alli ne nodteni,Non-depressive
Jai d boss,Non-depressive
I m waiting,Non-depressive
Prajwal Devaraj sir,Non-depressive
Muchele dagar munde sule,Non-depressive
Masth guru sakadgi helidiya,Non-depressive
ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಗುರು,Non-depressive
Good massage anna super,Non-depressive
Matte comment yaru kettadagi maadbardantha commenters gu warning kottri idella thappe.public comment antha irodu adu public opinion nivu yaru nam bagge maathadodakke.,Non-depressive
Dialog super agii oddidya anna.. super,Non-depressive
Paapa yaro hair oil bagge helkodthidre niv yake oppose maadthira.adu avara ishta avaru yelli aadaru copy maadli ..niv yavathu yenu copy maadillva.niv hege nim opinion helidri avru ashte avara opinion helidru ashte.niv maathadidu avarige sari ansalla,Non-depressive
ಸೂಪರ್ ಗುರು ಲಾಸ್ಟ್ ಅಲ್ಲಿ ಹೇಳಿದ್ರಲ್ಲ ತಿಕ ಹೊಡಿಯೋ ದೇವ್ರು ನಾ ಕಟ್ಕೊಂಡಿದಾರೆ ಅಂತ 100% ನಿಜ ಸೂಪರ್,Non-depressive
